English,Gujarati
station,સ્ટેશન
acting,અભિનય
accept,સ્વીકારવું
blow,તમાચો
strange,વિચિત્ર
saved,સંગ્રહિત
Ivy or ivy,આઇવિ અથવા આઇવિ
conversation,વાતચીત
plane,વિમાન
mama,મામા
yesterday,ગઇકાલે
lied,જૂઠાણું
quick,ઝડપી
lately,તાજેતરમાં
stuck,અટવાઈ જવું
lovely,સુંદર
security,સલામતી
report,અહેવાલ
Barbara,બાર્બરા
difference,તફાવત
rid,છુટકારો
tv or TV,ટીવી અથવા ટીવી
Adam,આદમ
store,દુકાન
she'd,તેણી
bag,બેગ
Mike,માઇક
bought,ખરીદી
ball,દડો
single,એકલુ
Kevin,કેવિન
doubt,શંકા
listening,સાંભળવું
major,મુખ્ય
walking,વૉકિંગ
cops,પોલીસ
blue,વાદળી
deep,ઊંડા
dangerous,ખતરનાક
Buffy,બંદ
park or Park,પાર્ક અથવા પાર્ક
sleeping,ઊંઘમાં
Chloe,ચલો
Rafe,રફે
shh,શાહ
record,રેકોર્ડ
lord,પ્રભુ
Erica,એરિકા
moved,ખસેડ્યું
join,જોડવું
key,ચાવી
captain,કેપ્ટન
card,કાર્ડ
crime,ગુના
gentlemen,સજ્જન
willing,તૈયાર
window,વિન્ડો
return,પાછા આવવું
walked,ચાલતું
guilty,દોષિત
Brenda,રેન્ડા
likes,પસંદ
fighting,લડાઈ
difficult,મુશ્કેલ
soul,આત્મા
joke,મજાક
service,સેવા
magic,મેજિક
favorite,મનપસંદ
uncle,કાકા
promised,વચન આપ્યું
public,જાહેર જનતા
bother,ચિંતા
island,ટાપુ
Jim,જિમ
seriously,ગંભીરતાપૂર્વક
cell,કોષ
lead,લીડ
knowing,જાણીને
broken,ભાંગેલું
advice,સલાહ
somehow,કોઈક રીતે
paid,ચૂકવેલ
Blair,હેલર
losing,હારી
push,દબાણ
helped,મદદ કરવી
killing,હત્યા
usually,સામાન્ય રીતે
earlier,અગાઉ
boss,બોસ
Laura,લૌરા
beginning,શરૂઆત
liked,ગમ્યું
innocent,નિર્દોષ
doc,ડૉક
rules,નિયમો
Elizabeth,એલિઝાબેથ
Sabrina,સબરીના
summer or Summer,ઉનાળો અથવા ઉનાળો
ex,ભૂતપૂર્વ
cop,કોપ
learned,શીખ્યા
thirty,ત્રીસ
risk,જોખમ
letting,ભાવિ
Phillip,ફિલીપ
speaking,ભાષણ
officer,અધિકારી
ridiculous,હાસ્યાસ્પદ
support,આધાર
afternoon,બપોર પછી
Eric,એરિક
born,જન્મ
dreams,સપનાઓ
apologize,માફી માગવી
seat,બેઠક
nervous,નર્વસ
across,સમગ્ર
song,ગીત
Olivia,ઓલિવીયા
charge,હવાલો
patient,દર્દી
Cassie,કાસી
boat,હોડી
how'd,કેવી રીતે
brain,મગજ
hide,છુપાવવું
detective,જાસૂસ
Aaron,એરોન
Kendall,કેન્ડલ
general,સામાન્ય
Tom,ટોમ
planning,આયોજન
nine,નવ
huge,વિશાળ
breakfast,નાસ્તો
horrible,ભયંકર
age,ઉંમર
awful,ભયંકર
pleasure,આનંદ
driving,ડ્રાઇવિંગ
hanging,હેંગિંગ
picked,ચૂંટાયા
system,પદ્ધતિ
sell,વેચાણ કરવું
quit,છોડી દેવું
apparently,દેખીતી રીતે
dying,મરી જવું
notice,નોટિસ
Josh,જૉશ
congratulations,અભિનંદન
chief,મુખ્ય
faith,વિશ્વાસ
Simon,સિમોન
gay,ગે
ho or Ho,હો અથવા હો
one's,એક
month,માસ
visit,મુલાકાત
Hal,હેલ
could've,કરી શકે છે
c'mon,કમનસીબ
aw,અહંકાર
Edmund,Edmund
Brady,બ્રૅડી
letter,પત્ર
decide,નક્કી કરવું
American,અમેરિકન
double,ડબલ
Troy,ટ્રોય
sad,દુ: ખી
press,પ્રેસ
forward,આગળ
fool,મૂર્ખ
showed,દર્શાવ્યું
smell,ગંધ
seemed,લાગતું
Mary,મેરી
spell,જોડણી
Courtney,કર્તવ્ય
memory,મેમરી
Mark or mark,માર્ક અથવા ચિહ્ન
Alan,અલાન
pictures,ચિત્રો
Paris,પોરિસ
slow,ધીમું
Joe or joe,જૉ અથવા જૉ
Tim,ટિમ
seconds,સેકંડ
hungry,ભૂખ્યા
board,પાટીયું
position,પોઝિશન
hearing,સુનાવણી
Roz,રોઝ
kitchen,રસોડું
ma'am,મામ
Bob or bob,બોબ અથવા બોબ
force,બળ
fly,ઉડાન
during,દરમિયાન
space,જગ્યા
should've,હોવું જોઈએ
realized,સમજાયું
experience,અનુભવ
kick,કિક
others,અન્ય
grab,પડાવી લેવું
mother's,માતા
P.,પી.
Sharon,શેરોન
discuss,ચર્ચા કરવી
third,તૃતીયાંશ
cat or Cat,બિલાડી અથવા બિલાડી
fifty,પચાસ
responsible,જવાબદાર
Jennifer,જેનિફર
Philip,ફિલિપ
miles or Miles,માઇલ્સ અથવા માઇલ
fat,ચરબી
reading,વાંચન
idiot,મૂર્ખ
yep,હા
rock,ખડક
rich,સમૃદ્ધ
suddenly,અચાનક
agent,એજન્ટ
bunch,ટોળું
destroy,નાશ કરવો
bucks,બક્સ
track,ટ્રેક
shoes,શૂઝ
scene,દ્રશ્ય
peace,શાંતિ
arms,આર્મ્સ
demon,રાક્ષસ
Diane,ડિયાન
Bridget,બ્રિજેટ
Brad,બ્રેડ
low,ઓછું
Livvie,લિવિવી
consider,વિચાર કરવું
papers,કાગળો
medical,તબીબી
incredible,અવિશ્વસનીય
witch,ડાકણ
er,er
drunk,નશામાં
attorney,એટર્ની
Charlie,ચાર્લી
tells,કહે છે
knock,નકામું
Karen,કારેન
ways,માર્ગો
eh,હા
belle or Belle,બેલે અથવા બેલે
cash or Cash,રોકડ અથવા રોકડ
gives,આપે
department,વિભાગ
nose,નાક
Skye,આકાશ
turns,વળાંક
keeps,રાખે છે
beer,બીયર
jealous,ઈર્ષ્યા
drug,દવા
Molly,મોલી
sooner,જલ્દી
cares,કાળજી લેવી
plenty,પુષ્કળ
extra,વિશેષ
tea,ચા
won,જીત
attack,હુમલો
ground,જમીન
whose,કોની
outta,બહારનું
Kyle,કિરલ
L.,એલ.
weekend,સપ્તાહમાં
matters,માતૃભાષા
wrote,લખ્યું
type,પ્રકાર
father's,પિતાનું
Alex,એલેક્સ
gosh,ગોશ
opportunity,તક
king,કિંગ
impossible,અશક્ય
books,પુસ્તો
machine,યંત્ર
waste,કચરો
th,એક
pretend,ડોળ કરવો
named,નામ આપવામાં આવ્યું
danger,ભય
wall,વોલ
Liz,લિઝ
Ian,ઇઆન
Henry,હેનરી
jump,કૂદી
eating,ખાવું
proof,પુરાવા
complete,પૂર્ણ
slept,સૂઈ ગયેલું
career,કારકિર્દી
arrest,ધરપકડ
star,તારો
Phyllis,ફાયલીસ
Mac,મૅક
breathe,શ્વાસ લેવો
perfectly,સંપૂર્ણ રીતે
warm,ગરમ
pulled,ખેંચેલું
Maria,મારિયા
twice,બે વાર
easier,સરળ
killer,કિલર
goin',માં જાઓ'
dating,ડેટિંગ
suit,દાવો
romantic,વિનોદી
drugs,દવા
comfortable,આરામદાયક
Isaac,ઇઝેક
powers or Powers,સત્તા અથવા શક્તિઓ
finds,શોધવું
checked,ચકાસાયેલ
fit,ફિટ
divorce,છૂટાછેડા
begin,શરૂઆત
ourselves,આપણી જાતને
closer,નજીક
ruin,વિનાશ
although,જોકે
smile,સ્માઇલ
laugh,હસવું
fish,માછલી
Abigail,એબીગેઇલ
treat,સારવાર કરવી
god's,ઈશ્વર
fear,ભય
Anna,અન્ના
what'd,શું થયું
Simone,સિમોન
Amber,અંબર
guy's,વ્યક્તિ
otherwise,અન્યથા
excited,ઉત્તેજિત
mail,મેલ
hiding,છુપાવી
cost,ખર્ચ
green or Green,લીલા અથવા લીલો
stole,ચોરી કરવી
Pacey,પેસી
